type,seconds,round,chunk_distance,name,t,c,z,y,x
Zarr,0.02617921,27,1033,XY-1920-Z-259-C-4-T-1-XC-256,1,4,257,3,4
Zarr,0.02476484,28,587,XY-1920-Z-259-C-4-T-1-XC-256,1,3,70,4,6
Zarr,0.02937557,29,376,XY-1920-Z-259-C-4-T-1-XC-256,1,2,118,3,7
Zarr,0.03286248,30,843,XY-1920-Z-259-C-4-T-1-XC-256,1,4,67,4,2
Zarr,0.020935060000000002,31,501,XY-1920-Z-259-C-4-T-1-XC-256,1,2,243,1,2
Zarr,0.02800793,32,542,XY-1920-Z-259-C-4-T-1-XC-256,1,3,25,5,5
Zarr,0.02692766,33,871,XY-1920-Z-259-C-4-T-1-XC-256,1,4,95,6,7
Zarr,0.024617820000000002,34,340,XY-1920-Z-259-C-4-T-1-XC-256,1,2,82,1,3
Zarr,0.0346,35,197,XY-1920-Z-259-C-4-T-1-XC-256,1,1,198,7,4
Zarr,0.02352667,36,677,XY-1920-Z-259-C-4-T-1-XC-256,1,3,160,3,6
Zarr,0.02309407,37,591,XY-1920-Z-259-C-4-T-1-XC-256,1,3,74,4,5
Zarr,0.02746238,38,583,XY-1920-Z-259-C-4-T-1-XC-256,1,3,66,7,2
Zarr,0.02676761,39,293,XY-1920-Z-259-C-4-T-1-XC-256,1,2,35,1,7
Zarr,0.03033035,40,238,XY-1920-Z-259-C-4-T-1-XC-256,1,1,239,1,3
Zarr,0.02593154,41,553,XY-1920-Z-259-C-4-T-1-XC-256,1,3,36,5,3
Zarr,0.025538560000000002,42,795,XY-1920-Z-259-C-4-T-1-XC-256,1,4,19,6,1
Zarr,0.028930920000000002,43,312,XY-1920-Z-259-C-4-T-1-XC-256,1,2,54,2,6
Zarr,0.02304772,44,595,XY-1920-Z-259-C-4-T-1-XC-256,1,3,78,2,7
Zarr,0.02563321,45,20,XY-1920-Z-259-C-4-T-1-XC-256,1,1,21,7,1
Zarr,0.026215350000000002,46,835,XY-1920-Z-259-C-4-T-1-XC-256,1,4,59,3,2
Zarr,0.0242646,47,587,XY-1920-Z-259-C-4-T-1-XC-256,1,3,70,1,7
Zarr,0.02156323,48,9,XY-1920-Z-259-C-4-T-1-XC-256,1,1,10,4,6
Zarr,0.02442163,49,136,XY-1920-Z-259-C-4-T-1-XC-256,1,1,137,5,5
Zarr,0.03713341,50,954,XY-1920-Z-259-C-4-T-1-XC-256,1,4,178,7,2
Zarr,0.03104424,51,908,XY-1920-Z-259-C-4-T-1-XC-256,1,4,132,6,2
Zarr,0.02763678,52,495,XY-1920-Z-259-C-4-T-1-XC-256,1,2,237,5,2
Zarr,0.02414721,53,199,XY-1920-Z-259-C-4-T-1-XC-256,1,1,200,1,2
Zarr,0.0214907,54,81,XY-1920-Z-259-C-4-T-1-XC-256,1,1,82,4,3
Zarr,0.02851407,55,87,XY-1920-Z-259-C-4-T-1-XC-256,1,1,88,4,5
Zarr,0.02172046,56,120,XY-1920-Z-259-C-4-T-1-XC-256,1,1,121,7,1
Zarr,0.02173696,57,999,XY-1920-Z-259-C-4-T-1-XC-256,1,4,223,6,6
Zarr,0.035632000000000004,58,795,XY-1920-Z-259-C-4-T-1-XC-256,1,4,19,1,7
Zarr,0.02615065,59,548,XY-1920-Z-259-C-4-T-1-XC-256,1,3,31,6,7
Zarr,0.03308945,60,309,XY-1920-Z-259-C-4-T-1-XC-256,1,2,51,4,3
Zarr,0.02253909,61,542,XY-1920-Z-259-C-4-T-1-XC-256,1,3,25,5,4
Zarr,0.02601011,62,562,XY-1920-Z-259-C-4-T-1-XC-256,1,3,45,6,4
Zarr,0.02170745,63,303,XY-1920-Z-259-C-4-T-1-XC-256,1,2,45,1,3
Zarr,0.02173432,64,336,XY-1920-Z-259-C-4-T-1-XC-256,1,2,78,1,2
Zarr,0.02428119,65,722,XY-1920-Z-259-C-4-T-1-XC-256,1,3,205,2,3
Zarr,0.02068454,66,188,XY-1920-Z-259-C-4-T-1-XC-256,1,1,189,3,1
Zarr,0.01876053,67,786,XY-1920-Z-259-C-4-T-1-XC-256,1,4,10,4,1
Zarr,0.02751463,68,857,XY-1920-Z-259-C-4-T-1-XC-256,1,4,81,7,2
Zarr,0.0226739,69,301,XY-1920-Z-259-C-4-T-1-XC-256,1,2,43,3,6
Zarr,0.01994846,70,384,XY-1920-Z-259-C-4-T-1-XC-256,1,2,126,1,5
Zarr,0.02546768,71,459,XY-1920-Z-259-C-4-T-1-XC-256,1,2,201,4,4
Zarr,0.02690992,72,175,XY-1920-Z-259-C-4-T-1-XC-256,1,1,176,7,7
Zarr,0.02372951,73,251,XY-1920-Z-259-C-4-T-1-XC-256,1,1,252,1,2
Zarr,0.02528267,74,105,XY-1920-Z-259-C-4-T-1-XC-256,1,1,106,2,5
Zarr,0.03870582,75,787,XY-1920-Z-259-C-4-T-1-XC-256,1,4,11,4,5
Zarr,0.02004516,76,827,XY-1920-Z-259-C-4-T-1-XC-256,1,4,51,1,1
Zarr,0.02360964,77,759,XY-1920-Z-259-C-4-T-1-XC-256,1,3,242,3,3
