type,seconds,round,name,t,c,z,y,x
Zarr,0.013935610000000001,26,XY-1920-Z-1-C-4-T-1-XC-256,1,2,1,3,5
Zarr,0.01727378,27,XY-1920-Z-1-C-4-T-1-XC-256,1,2,1,2,4
Zarr,0.01292335,28,XY-1920-Z-1-C-4-T-1-XC-256,1,2,1,1,4
Zarr,0.026101,29,XY-1920-Z-1-C-4-T-1-XC-256,1,1,1,3,3
Zarr,0.01412872,30,XY-1920-Z-1-C-4-T-1-XC-256,1,4,1,3,3
Zarr,0.01220616,31,XY-1920-Z-1-C-4-T-1-XC-256,1,2,1,7,3
Zarr,0.01069192,32,XY-1920-Z-1-C-4-T-1-XC-256,1,2,1,6,1
Zarr,0.01885014,33,XY-1920-Z-1-C-4-T-1-XC-256,1,3,1,5,2
Zarr,0.01165473,34,XY-1920-Z-1-C-4-T-1-XC-256,1,2,1,1,4
Zarr,0.02032025,35,XY-1920-Z-1-C-4-T-1-XC-256,1,4,1,6,1
Zarr,0.013216180000000001,36,XY-1920-Z-1-C-4-T-1-XC-256,1,1,1,5,5
Zarr,0.0129297,37,XY-1920-Z-1-C-4-T-1-XC-256,1,1,1,6,7
Zarr,0.01293504,38,XY-1920-Z-1-C-4-T-1-XC-256,1,3,1,5,2
Zarr,0.01485044,39,XY-1920-Z-1-C-4-T-1-XC-256,1,1,1,7,5
Zarr,0.01503534,40,XY-1920-Z-1-C-4-T-1-XC-256,1,1,1,2,6
Zarr,0.013328040000000001,41,XY-1920-Z-1-C-4-T-1-XC-256,1,2,1,2,6
Zarr,0.01127231,42,XY-1920-Z-1-C-4-T-1-XC-256,1,1,1,7,4
Zarr,0.02893197,43,XY-1920-Z-1-C-4-T-1-XC-256,1,3,1,5,7
Zarr,0.02082591,44,XY-1920-Z-1-C-4-T-1-XC-256,1,3,1,1,4
Zarr,0.01432538,45,XY-1920-Z-1-C-4-T-1-XC-256,1,2,1,3,7
Zarr,0.01182388,46,XY-1920-Z-1-C-4-T-1-XC-256,1,3,1,5,3
Zarr,0.011935040000000001,47,XY-1920-Z-1-C-4-T-1-XC-256,1,2,1,7,5
Zarr,0.01292741,48,XY-1920-Z-1-C-4-T-1-XC-256,1,4,1,3,3
Zarr,0.02316743,49,XY-1920-Z-1-C-4-T-1-XC-256,1,1,1,6,5
Zarr,0.01083686,50,XY-1920-Z-1-C-4-T-1-XC-256,1,2,1,5,4
Zarr,0.013025160000000001,51,XY-1920-Z-1-C-4-T-1-XC-256,1,1,1,3,7
Zarr,0.015059900000000001,52,XY-1920-Z-1-C-4-T-1-XC-256,1,2,1,4,7
Zarr,0.01223429,53,XY-1920-Z-1-C-4-T-1-XC-256,1,3,1,6,3
Zarr,0.01274118,54,XY-1920-Z-1-C-4-T-1-XC-256,1,3,1,7,2
Zarr,0.02425085,55,XY-1920-Z-1-C-4-T-1-XC-256,1,2,1,2,2
Zarr,0.01329715,56,XY-1920-Z-1-C-4-T-1-XC-256,1,4,1,4,7
Zarr,0.01492909,57,XY-1920-Z-1-C-4-T-1-XC-256,1,3,1,5,6
Zarr,0.01498127,58,XY-1920-Z-1-C-4-T-1-XC-256,1,4,1,2,4
Zarr,0.012901860000000001,59,XY-1920-Z-1-C-4-T-1-XC-256,1,4,1,7,1
Zarr,0.01113284,60,XY-1920-Z-1-C-4-T-1-XC-256,1,4,1,7,3
